PS D:\Python\AadeshwarWorkOrder> & "C:/Program Files/Python313/python.exe" d:/Python/AadeshwarWorkOrder/src/test.py
Sat Feb  1 19:52:57 2025    PROFILE.txt

         2647911 function calls (2613528 primitive calls) in 58.190 seconds

   Ordered by: internal time
   List reduced from 3173 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2111    0.021    0.000    0.162    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\worksheet\_reader.py:282(parse_row)
75004/75003    0.019    0.000    0.150    0.000 C:\Program Files\Python313\Lib\xml\etree\ElementTree.py:1233(iterator)
       18    0.019    0.001    0.019    0.001 {method 'GetDocumentation' of 'PyITypeInfo' objects}
       63    0.018    0.000    0.018    0.000 C:\Program Files\Python313\Lib\site-packages\docx\opc\oxml.py:53(serialize_part_xml)
   113859    0.018    0.000    0.018    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
    20985    0.018    0.000    0.027    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\descriptors\base.py:39(__set__)
    14454    0.017    0.000    0.455    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\text\run.py:115(text)      
    28672    0.017    0.000    0.326    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:472(grid_span)    
     2111    0.017    0.000    0.046    0.000 C:\Program Files\Python313\Lib\site-packages\pandas\core\methods\to_dict.py:245(<genexpr>)
      138    0.016    0.000    0.016    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\parser.py:23(parse_xml)    
    37953    0.016    0.000    0.020    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\cell\read_only.py:14(__init__)
     6375    0.015    0.000    0.536    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:460(grid_offset)  
  747/387    0.015    0.000    0.069    0.000 C:\Program Files\Python313\Lib\site-packages\win32com\client\build.py:528(_ResolveType)
        1    0.015    0.015    0.409    0.409 C:\Program Files\Python313\Lib\site-packages\pandas\io\excel\_openpyxl.py:607(get_sheet_data)
     9384    0.015    0.000    0.030    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\xmlchemy.py:199(get_attr_value)
    17763    0.015    0.000    0.018    0.000 C:\Program Files\Python313\Lib\site-packages\docx\text\paragraph.py:26(__init__)  
    15416    0.014    0.000    0.157    0.000 C:\Program Files\Python313\Lib\site-packages\docx\table.py:247(paragraphs)        
      108    0.014    0.000    0.014    0.000 {built-in method nt._getfinalpathname}
     6375    0.014    0.000    0.230    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:79(tc_at_grid_offset)
     8506    0.013    0.000    0.090    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\cell\text.py:161(__init__)  
    28116    0.013    0.000    0.020    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\text\run.py:122(<genexpr>) 
     8506    0.013    0.000    0.027    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\cell\text.py:173(content)   
     1418    0.013    0.000    0.019    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\parser.py:44(OxmlElement)  
       18    0.013    0.001    0.013    0.001 {method 'GetRefTypeInfo' of 'PyITypeInfo' objects}
    75107    0.012    0.000    0.012    0.000 {method 'popleft' of 'collections.deque' objects}
     10/9    0.012    0.001   22.478    2.498 C:\Program Files\Python313\Lib\site-packages\docx2pdf\__init__.py:16(windows)     
    18090    0.012    0.000    1.375    0.000 C:\Program Files\Python313\Lib\site-packages\docx\table.py:433(_iter_row_cells)   
     8857    0.011    0.000    0.021    0.000 C:\Program Files\Python313\Lib\site-packages\docx\table.py:195(__init__)
    28672    0.011    0.000    0.154    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:829(grid_span)    
       46    0.011    0.000    0.011    0.000 {built-in method builtins.compile}
    77/75    0.011    0.000    0.012    0.000 {built-in method builtins.all}
      132    0.011    0.000    0.011    0.000 C:\Program Files\Python313\Lib\site-packages\docx\image\jpeg.py:217(_read_byte)   
     1534    0.011    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
    15232    0.010    0.000    0.207    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:541(vMerge)       
    32219    0.010    0.000    0.466    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\text\paragraph.py:102(<genexpr>)
    50207    0.010    0.000    0.018    0.000 {built-in method builtins.getattr}
      242    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
10739/10735    0.010    0.000    0.027    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\descriptors\base.py:68(__set__)
    37953    0.010    0.000    0.010    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
      357    0.010    0.000    0.010    0.000 {method 'seek' of '_io.BufferedRandom' objects}
     6459    0.010    0.000    0.135    0.000 {built-in method builtins.sum}
     2259    0.009    0.000    1.384    0.001 C:\Program Files\Python313\Lib\site-packages\docx\table.py:395(cells)
    15232    0.009    0.000    0.114    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:863(vMerge_val)
     6375    0.009    0.000    0.959    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:738(_tc_above)
    36963    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    38826    0.009    0.000    0.009    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\descriptors\base.py:24(__set__)        
     9405    0.008    0.000    0.034    0.000 C:\Program Files\Python313\Lib\site-packages\openpyxl\descriptors\nested.py:26(__set__)      
    12750    0.008    0.000    0.156    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:71(grid_before)
       31    0.008    0.000    0.008    0.000 {built-in method _io.open}
3927/3567    0.008    0.000    0.013    0.000 {built-in method __new__ of type object at 0x00007FFD1F3328A0}
    12571    0.007    0.000    0.017    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\xmlchemy.py:151(_clark_name)
    16225    0.007    0.000    0.121    0.000 C:\Program Files\Python313\Lib\site-packages\docx\oxml\table.py:467(<genexpr>)
     9761    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
